PATTERNID,PATTERNSET,PATTERNNATURE,PATTERNNAME,PATTERNDESCRIPTION,REGEXPATTERN,PRIORITY,CATEGORY,FIX,REMEDIATION,REMEDIATIONDESCRIPTION,REMEDIATIONEFFORT,MANDAYS,SNO_PHASE_BATCH,TOTAL,APPLICATIONNAME,TRACK,PHASE,BATCH,APPLICABLE THIRD PARTY NEW JAR,JDK-COMPATIBILITYSTATUS-CONCLUDED,JDK8-COMPATIBLE,JDK21-COMPATIBLE,JDKCOMPATIBILITYRULEHINT,WLS12CCOMPATIBLE,WLS14CCOMPATIBLE,OPENREWRITE_RECEIPE,TESTCASE_UNIT_NO,TOTAL
224,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-mail-alpha.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.mail|org\.apache\.commons\.mail\.DefaultAuthenticator|org\.apache\.commons\.mail\.ByteArrayDataSource|org\.apache\.commons\.mail\.GenerateUniqueID|org\.apache\.commons\.mail\.EmailAttachment|org\.apache\.commons\.mail\.MultiPartEmail|org\.apache\.commons\.mail\.MailMessage|org\.apache\.commons\.mail\.SimpleEmail|org\.apache\.commons\.mail\.HtmlEmail|org\.apache\.commons\.mail\.Email)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.mail|org\.apache\.commons\.mail\.DefaultAuthenticator|org\.apache\.commons\.mail\.ByteArrayDataSource|org\.apache\.commons\.mail\.GenerateUniqueID|org\.apache\.commons\.mail\.EmailAttachment|org\.apache\.commons\.mail\.MultiPartEmail|org\.apache\.commons\.mail\.MailMessage|org\.apache\.commons\.mail\.SimpleEmail|org\.apache\.commons\.mail\.HtmlEmail|org\.apache\.commons\.mail\.Email)\.)|(?:\b(?:org\.apache\.commons\.mail|org\.apache\.commons\.mail\.DefaultAuthenticator|org\.apache\.commons\.mail\.ByteArrayDataSource|org\.apache\.commons\.mail\.GenerateUniqueID|org\.apache\.commons\.mail\.EmailAttachment|org\.apache\.commons\.mail\.MultiPartEmail|org\.apache\.commons\.mail\.MailMessage|org\.apache\.commons\.mail\.SimpleEmail|org\.apache\.commons\.mail\.HtmlEmail|org\.apache\.commons\.mail\.Email)\.[A-Za-z_$][\w$]*\b)",Medium,Pre-Release/Alpha,Dual-runtime: replace alpha/beta/snapshot libraries with stable maintained releases that support Java 8; validate on JDK 21.,Replace,Upgrade to stable release; verify runtime and security.,Medium,1,27,1,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 7,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Replace-PreRelease,(blank),(blank),P043,UT043,1
225,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-net-1.1.0.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.net|org\.apache\.commons\.net\.ftp|org\.apache\.commons\.net\.telnet|org\.apache\.commons\.net\.io|org\.apache\.commons\.net\.tftp|org\.apache\.commons\.net\.nntp|org\.apache\.commons\.net\.smtp|org\.apache\.commons\.net\.pop3|org\.apache\.commons\.net\.bsd|org\.apache\.commons\.net\.MalformedServerReplyException)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.net|org\.apache\.commons\.net\.ftp|org\.apache\.commons\.net\.telnet|org\.apache\.commons\.net\.io|org\.apache\.commons\.net\.tftp|org\.apache\.commons\.net\.nntp|org\.apache\.commons\.net\.smtp|org\.apache\.commons\.net\.pop3|org\.apache\.commons\.net\.bsd|org\.apache\.commons\.net\.MalformedServerReplyException)\.)|(?:\b(?:org\.apache\.commons\.net|org\.apache\.commons\.net\.ftp|org\.apache\.commons\.net\.telnet|org\.apache\.commons\.net\.io|org\.apache\.commons\.net\.tftp|org\.apache\.commons\.net\.nntp|org\.apache\.commons\.net\.smtp|org\.apache\.commons\.net\.pop3|org\.apache\.commons\.net\.bsd|org\.apache\.commons\.net\.MalformedServerReplyException)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,64,4,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Review,(blank),(blank),P044,UT044,4
228,Set 3 - Third Party,THIRD-PARTY (CONCURRENCY jar),concurrent.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:EDU\.oswego\.cs\.dl\.util)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:EDU\.oswego\.cs\.dl\.util)\.)|(?:\b(?:EDU\.oswego\.cs\.dl\.util)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,103,3,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 5,JDK built?in concurrency package,NOT-SAFE works ONLY JDK21 (change to new API and/or new JAR in src),NOT-SAFE,to verify runtime - New JAR & API ?,Dual-Review,(blank),(blank),P045,UT045,3
229,Set 3 - Third Party,THIRD-PARTY (BARCODE jar),core-3.4.1.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.google\.zxing|com\.google\.zxing\.oned|com\.google\.zxing\.qrcode|com\.google\.zxing\.client\.result|com\.google\.zxing\.oned\.rss|com\.google\.zxing\.pdf417|com\.google\.zxing\.datamatrix|com\.google\.zxing\.qrcode\.decoder|com\.google\.zxing\.common|com\.google\.zxing\.aztec)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.google\.zxing|com\.google\.zxing\.oned|com\.google\.zxing\.qrcode|com\.google\.zxing\.client\.result|com\.google\.zxing\.oned\.rss|com\.google\.zxing\.pdf417|com\.google\.zxing\.datamatrix|com\.google\.zxing\.qrcode\.decoder|com\.google\.zxing\.common|com\.google\.zxing\.aztec)\.)|(?:\b(?:com\.google\.zxing|com\.google\.zxing\.oned|com\.google\.zxing\.qrcode|com\.google\.zxing\.client\.result|com\.google\.zxing\.oned\.rss|com\.google\.zxing\.pdf417|com\.google\.zxing\.datamatrix|com\.google\.zxing\.qrcode\.decoder|com\.google\.zxing\.common|com\.google\.zxing\.aztec)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,80,6,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Review,(blank),(blank),P046,UT046,6
232,Set 3 - Third Party,THIRD-PARTY (DOM4J jar),dom4j-1.5-rc1.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.dom4j|org\.dom4j\.tree|org\.dom4j\.io|org\.dom4j\.dom|org\.dom4j\.rule|org\.dom4j\.util|org\.dom4j\.persistence|org\.dom4j\.swing|org\.dom4j\.datatype|org\.dom4j\.bean)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.dom4j|org\.dom4j\.tree|org\.dom4j\.io|org\.dom4j\.dom|org\.dom4j\.rule|org\.dom4j\.util|org\.dom4j\.persistence|org\.dom4j\.swing|org\.dom4j\.datatype|org\.dom4j\.bean)\.)|(?:\b(?:org\.dom4j|org\.dom4j\.tree|org\.dom4j\.io|org\.dom4j\.dom|org\.dom4j\.rule|org\.dom4j\.util|org\.dom4j\.persistence|org\.dom4j\.swing|org\.dom4j\.datatype|org\.dom4j\.bean)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,79,14,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Review,(blank),(blank),P047,UT047,14
234,Set 3 - Third Party,THIRD-PARTY (CONCURRENCY jar),EDU.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:EDU\.oswego\.cs\.dl\.util)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:EDU\.oswego\.cs\.dl\.util)\.)|(?:\b(?:EDU\.oswego\.cs\.dl\.util)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,104,3,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 5,JDK built?in concurrency package,NOT-SAFE works ONLY JDK21 (change to new API and/or new JAR in src),NOT-SAFE,to verify runtime - New JAR & API ?,Dual-Review,(blank),(blank),P048,UT048,3
236,Set 3 - Third Party,THIRD-PARTY (FOP jar),fop.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.fop|org\.apache\.fop\.fo|org\.apache\.fop\.fo\.properties|org\.apache\.fop\.fo\.flow|org\.apache\.fop\.render|org\.apache\.fop\.pdf|org\.apache\.fop\.layout|org\.apache\.fop\.viewer|org\.apache\.fop\.fo\.pagination|org\.apache\.fop\.mif)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.fop|org\.apache\.fop\.fo|org\.apache\.fop\.fo\.properties|org\.apache\.fop\.fo\.flow|org\.apache\.fop\.render|org\.apache\.fop\.pdf|org\.apache\.fop\.layout|org\.apache\.fop\.viewer|org\.apache\.fop\.fo\.pagination|org\.apache\.fop\.mif)\.)|(?:\b(?:org\.apache\.fop|org\.apache\.fop\.fo|org\.apache\.fop\.fo\.properties|org\.apache\.fop\.fo\.flow|org\.apache\.fop\.render|org\.apache\.fop\.pdf|org\.apache\.fop\.layout|org\.apache\.fop\.viewer|org\.apache\.fop\.fo\.pagination|org\.apache\.fop\.mif)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,71,88,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Review;POM,(blank),(blank),P049,UT049,88
237,Set 3 - Third Party,THIRD-PARTY (OC4J jar),framework-1.3.2.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.identityconnectors|org\.identityconnectors\.framework|org\.identityconnectors\.framework\.common|org\.identityconnectors\.framework\.common\.objects|org\.identityconnectors\.common|org\.identityconnectors\.framework\.api|org\.identityconnectors\.framework\.spi|org\.identityconnectors\.framework\.api\.operations|org\.identityconnectors\.framework\.common\.exceptions|org\.identityconnectors\.framework\.spi\.operations)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.identityconnectors|org\.identityconnectors\.framework|org\.identityconnectors\.framework\.common|org\.identityconnectors\.framework\.common\.objects|org\.identityconnectors\.common|org\.identityconnectors\.framework\.api|org\.identityconnectors\.framework\.spi|org\.identityconnectors\.framework\.api\.operations|org\.identityconnectors\.framework\.common\.exceptions|org\.identityconnectors\.framework\.spi\.operations)\.)|(?:\b(?:org\.identityconnectors|org\.identityconnectors\.framework|org\.identityconnectors\.framework\.common|org\.identityconnectors\.framework\.common\.objects|org\.identityconnectors\.common|org\.identityconnectors\.framework\.api|org\.identityconnectors\.framework\.spi|org\.identityconnectors\.framework\.api\.operations|org\.identityconnectors\.framework\.common\.exceptions|org\.identityconnectors\.framework\.spi\.operations)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,115,30,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 5,framework?1.4.2.jar,SAFE works BOTH JDK (able to Compile - to verify New JAR & API ?),to verify runtime - New JAR & API ?,to verify runtime - New JAR & API ?,Dual-Review,(blank),(blank),P050,UT050,30
239,Set 3 - Third Party,THIRD-PARTY (INTERNAL jar),gel_ciom.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ebao\.ls\.ih\.eai)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ebao\.ls\.ih\.eai)\.)|(?:\b(?:com\.ebao\.ls\.ih\.eai)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,98,5158,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 5,(blank),GE INTERNAL JAR (to discuss with ge team to provide new JAR works on both JDK or only JDK21),to verify runtime - New JAR & API ?,to verify runtime - ExitingAPI / NewAPI ?,Dual-Review,(blank),(blank),P051,UT051,5158
240,Set 3 - Third Party,THIRD-PARTY (INTERNAL jar),gel_epay_online.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ebao\.ls\.ih\.epay)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ebao\.ls\.ih\.epay)\.)|(?:\b(?:com\.ebao\.ls\.ih\.epay)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,99,62,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 5,(blank),GE INTERNAL JAR (to discuss with ge team to provide new JAR works on both JDK or only JDK21),to verify runtime - New JAR & API ?,to verify runtime - ExitingAPI / NewAPI ?,Dual-Review,(blank),(blank),P052,UT052,62
241,Set 3 - Third Party,THIRD-PARTY (HIBERNATE jar),hibernate2.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:net\.sf\.hibernate|net\.sf\.hibernate\.type|net\.sf\.hibernate\.impl|net\.sf\.hibernate\.expression|net\.sf\.hibernate\.engine|net\.sf\.hibernate\.mapping|net\.sf\.hibernate\.cache|net\.sf\.hibernate\.dialect|net\.sf\.hibernate\.collection|net\.sf\.hibernate\.cfg)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:net\.sf\.hibernate|net\.sf\.hibernate\.type|net\.sf\.hibernate\.impl|net\.sf\.hibernate\.expression|net\.sf\.hibernate\.engine|net\.sf\.hibernate\.mapping|net\.sf\.hibernate\.cache|net\.sf\.hibernate\.dialect|net\.sf\.hibernate\.collection|net\.sf\.hibernate\.cfg)\.)|(?:\b(?:net\.sf\.hibernate|net\.sf\.hibernate\.type|net\.sf\.hibernate\.impl|net\.sf\.hibernate\.expression|net\.sf\.hibernate\.engine|net\.sf\.hibernate\.mapping|net\.sf\.hibernate\.cache|net\.sf\.hibernate\.dialect|net\.sf\.hibernate\.collection|net\.sf\.hibernate\.cfg)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,102,3362,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 5, Hibernate 6.1.jar,NOT-SAFE works ONLY JDK21 (change to new API and/or new JAR in src),NOT-SAFE,to verify runtime - New JAR & API ?,Dual-Review,(blank),(blank),P053,UT053,3362
242,Set 3 - Third Party,THIRD-PARTY (HTTP jar),httpclient.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.http|org\.apache\.http\.impl|org\.apache\.http\.client|org\.apache\.http\.conn|org\.apache\.http\.impl\.conn|org\.apache\.http\.impl\.client|org\.apache\.http\.impl\.cookie|org\.apache\.http\.impl\.auth|org\.apache\.http\.client\.methods|org\.apache\.http\.auth)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.http|org\.apache\.http\.impl|org\.apache\.http\.client|org\.apache\.http\.conn|org\.apache\.http\.impl\.conn|org\.apache\.http\.impl\.client|org\.apache\.http\.impl\.cookie|org\.apache\.http\.impl\.auth|org\.apache\.http\.client\.methods|org\.apache\.http\.auth)\.)|(?:\b(?:org\.apache\.http|org\.apache\.http\.impl|org\.apache\.http\.client|org\.apache\.http\.conn|org\.apache\.http\.impl\.conn|org\.apache\.http\.impl\.client|org\.apache\.http\.impl\.cookie|org\.apache\.http\.impl\.auth|org\.apache\.http\.client\.methods|org\.apache\.http\.auth)\.[A-Za-z_$][\w$]*\b)",Medium,HTTP Client Migration,Dual-runtime: migrate from HttpClient 3.x APIs to HttpClient 4.5.x/5.x (Java 8+); refactor code; test on both runtimes.,Refactor,Replace API usages; verify timeouts/pooling/TLS.,Medium,1.5,89,10,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 3,(blank),NOT-SAFE works ONLY JDK21 (change to new API and/or new JAR in src),NOT-SAFE,to verify runtime - New JAR & API ?,Dual-HttpClient-Refactor,(blank),(blank),P054,UT054,10
243,Set 3 - Third Party,THIRD-PARTY (HTTP jar),httpcore.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.http|org\.apache\.http\.impl|org\.apache\.http\.protocol|org\.apache\.http\.impl\.io|org\.apache\.http\.message|org\.apache\.http\.params|org\.apache\.http\.entity|org\.apache\.http\.util|org\.apache\.http\.pool|org\.apache\.http\.config)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.http|org\.apache\.http\.impl|org\.apache\.http\.protocol|org\.apache\.http\.impl\.io|org\.apache\.http\.message|org\.apache\.http\.params|org\.apache\.http\.entity|org\.apache\.http\.util|org\.apache\.http\.pool|org\.apache\.http\.config)\.)|(?:\b(?:org\.apache\.http|org\.apache\.http\.impl|org\.apache\.http\.protocol|org\.apache\.http\.impl\.io|org\.apache\.http\.message|org\.apache\.http\.params|org\.apache\.http\.entity|org\.apache\.http\.util|org\.apache\.http\.pool|org\.apache\.http\.config)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,67,10,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Review,(blank),(blank),P055,UT055,10
244,Set 3 - Third Party,THIRD-PARTY (IBM jar),ibmjcefips.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ibm|com\.ibm\.crypto\.fips\.provider|com\.ibm\.Copyright)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ibm|com\.ibm\.crypto\.fips\.provider|com\.ibm\.Copyright)\.)|(?:\b(?:com\.ibm|com\.ibm\.crypto\.fips\.provider|com\.ibm\.Copyright)\.[A-Za-z_$][\w$]*\b)",Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1,38,39,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,"bc-fips-1.0.2.5.jar,bctls-fips-1.0.20",NOT-SAFE works ONLY JDK21 (change to new API and/or new JAR in src),NOT-SAFE,to verify runtime - New JAR & API ?,Dual-Crypto,(blank),(blank),P056,UT056,39
245,Set 3 - Third Party,THIRD-PARTY (IBM jar),ibmjceprovider.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ibm|com\.ibm\.crypto|com\.ibm\.crypto\.provider|com\.ibm\.crypto\.tools|com\.ibm\.crypto\.provider\.safkeyring|com\.ibm\.crypto\.provider\.PBEWithSHAAnd2KeyTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithSHAAnd3KeyTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithSHA1AndTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithMD2AndTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithMD5AndTripleDESCipher)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ibm|com\.ibm\.crypto|com\.ibm\.crypto\.provider|com\.ibm\.crypto\.tools|com\.ibm\.crypto\.provider\.safkeyring|com\.ibm\.crypto\.provider\.PBEWithSHAAnd2KeyTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithSHAAnd3KeyTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithSHA1AndTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithMD2AndTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithMD5AndTripleDESCipher)\.)|(?:\b(?:com\.ibm|com\.ibm\.crypto|com\.ibm\.crypto\.provider|com\.ibm\.crypto\.tools|com\.ibm\.crypto\.provider\.safkeyring|com\.ibm\.crypto\.provider\.PBEWithSHAAnd2KeyTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithSHAAnd3KeyTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithSHA1AndTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithMD2AndTripleDESCipher|com\.ibm\.crypto\.provider\.PBEWithMD5AndTripleDESCipher)\.[A-Za-z_$][\w$]*\b)",Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1,51,39,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,"bc-fips-1.0.2.5.jar,bctls-fips-1.0.20",SAFE works BOTH JDK (able to Compile - to verify New JAR & API ?),to verify runtime - New JAR & API ?,to verify runtime - New JAR & API ?,Dual-Crypto,(blank),(blank),P057,UT057,39
246,Set 3 - Third Party,THIRD-PARTY (IBM jar),ibmjsseprovider2.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ibm|com\.ibm\.jsse2|com\.ibm\.net\.ssl\.www2|com\.ibm\.jsse2\.util|com\.ibm\.jsse|com\.ibm\.compat|com\.ibm\.jsse2\.ProtoSSLEngineResult\$Status|com\.ibm\.jsse2\.SSLServerSocketFactoryImpl|com\.ibm\.jsse2\.HostnameVerifierIgnore|com\.ibm\.jsse2\.SSLSocketFactoryImpl)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ibm|com\.ibm\.jsse2|com\.ibm\.net\.ssl\.www2|com\.ibm\.jsse2\.util|com\.ibm\.jsse|com\.ibm\.compat|com\.ibm\.jsse2\.ProtoSSLEngineResult\$Status|com\.ibm\.jsse2\.SSLServerSocketFactoryImpl|com\.ibm\.jsse2\.HostnameVerifierIgnore|com\.ibm\.jsse2\.SSLSocketFactoryImpl)\.)|(?:\b(?:com\.ibm|com\.ibm\.jsse2|com\.ibm\.net\.ssl\.www2|com\.ibm\.jsse2\.util|com\.ibm\.jsse|com\.ibm\.compat|com\.ibm\.jsse2\.ProtoSSLEngineResult\$Status|com\.ibm\.jsse2\.SSLServerSocketFactoryImpl|com\.ibm\.jsse2\.HostnameVerifierIgnore|com\.ibm\.jsse2\.SSLSocketFactoryImpl)\.[A-Za-z_$][\w$]*\b)",Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1,52,39,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,"bc-fips-1.0.2.5.jar,bctls-fips-1.0.20.jar",SAFE works BOTH JDK (able to Compile - to verify New JAR & API ?),to verify runtime - New JAR & API ?,to verify runtime - New JAR & API ?,Dual-Crypto,(blank),(blank),P058,UT058,39
