PatternID,PatternSet,PatternNature,PatternName,PatternDescription,RegexPattern,Priority,Category,Fix,Remediation,RemediationDescription,RemediationEffort,Mandays,JDK8Compatible,JDK21Compatible,CompatibilityStatus,PlanFirstChange,ScriptableBySearchReplace,CompatibilityRuleHint
208,Set 3 - Third Party,THIRD-PARTY (CGLIB jar),cglib-full-2.0.2.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:net\.sf\.cglib|net\.sf\.cglib\.core|net\.sf\.cglib\.transform|net\.sf\.cglib\.proxy|net\.sf\.cglib\.transform\.impl|net\.sf\.cglib\.reflect|net\.sf\.cglib\.beans|net\.sf\.cglib\.util|org\.objectweb\.asm|net\.sf\.cglib\.transform\.hook)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:net\.sf\.cglib|net\.sf\.cglib\.core|net\.sf\.cglib\.transform|net\.sf\.cglib\.proxy|net\.sf\.cglib\.transform\.impl|net\.sf\.cglib\.reflect|net\.sf\.cglib\.beans|net\.sf\.cglib\.util|org\.objectweb\.asm|net\.sf\.cglib\.transform\.hook)\.)|(?:\b(?:net\.sf\.cglib|net\.sf\.cglib\.core|net\.sf\.cglib\.transform|net\.sf\.cglib\.proxy|net\.sf\.cglib\.transform\.impl|net\.sf\.cglib\.reflect|net\.sf\.cglib\.beans|net\.sf\.cglib\.util|org\.objectweb\.asm|net\.sf\.cglib\.transform\.hook)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
209,Set 3 - Third Party,THIRD-PARTY (DB jar),classes12.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:oracle\.jdbc|oracle\.jdbc\.driver|oracle\.net|oracle\.sql|oracle\.net\.nl|oracle\.jdbc\.oracore|oracle\.net\.nl\.mesg|oracle\.jdbc\.pool|oracle\.jdbc\.rowset|oracle\.net\.ns)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:oracle\.jdbc|oracle\.jdbc\.driver|oracle\.net|oracle\.sql|oracle\.net\.nl|oracle\.jdbc\.oracore|oracle\.net\.nl\.mesg|oracle\.jdbc\.pool|oracle\.jdbc\.rowset|oracle\.net\.ns)\.)|(?:\b(?:oracle\.jdbc|oracle\.jdbc\.driver|oracle\.net|oracle\.sql|oracle\.net\.nl|oracle\.jdbc\.oracore|oracle\.net\.nl\.mesg|oracle\.jdbc\.pool|oracle\.jdbc\.rowset|oracle\.net\.ns)\.[A-Za-z_$][\w$]*\b)",High,Driver Upgrade,Dual-runtime: replace old Oracle JDBC jars with ojdbc8 (Java 8 baseline) and validate on JDK 21; avoid ojdbc11 if JDK 8 runtime must remain supported.,Upgrade,Replace driver jar; validate TLS/timezone/NLS on both runtimes.,Medium,1,Yes,Yes,Safe,Yes,No,Dual-JDBC-Upgrade
210,Set 3 - Third Party,THIRD-PARTY (IBM jar),com.ibm.mq.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ibm|com\.ibm\.mq|com\.ibm\.mq\.server|com\.ibm\.mq\.mqjd|com\.ibm\.mqservices|com\.ibm\.mq\.MQConnectionRequestInfo\$DefaultKeyObject|com\.ibm\.mq\.MQBindingsManagedConnectionFactoryJ11|com\.ibm\.mq\.MQSimpleConnectionManager\$PSAdapter|com\.ibm\.mq\.MQClientManagedConnectionFactoryJ11|com\.ibm\.mq\.MQBindingsManagedConnectionFactory)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ibm|com\.ibm\.mq|com\.ibm\.mq\.server|com\.ibm\.mq\.mqjd|com\.ibm\.mqservices|com\.ibm\.mq\.MQConnectionRequestInfo\$DefaultKeyObject|com\.ibm\.mq\.MQBindingsManagedConnectionFactoryJ11|com\.ibm\.mq\.MQSimpleConnectionManager\$PSAdapter|com\.ibm\.mq\.MQClientManagedConnectionFactoryJ11|com\.ibm\.mq\.MQBindingsManagedConnectionFactory)\.)|(?:\b(?:com\.ibm|com\.ibm\.mq|com\.ibm\.mq\.server|com\.ibm\.mq\.mqjd|com\.ibm\.mqservices|com\.ibm\.mq\.MQConnectionRequestInfo\$DefaultKeyObject|com\.ibm\.mq\.MQBindingsManagedConnectionFactoryJ11|com\.ibm\.mq\.MQSimpleConnectionManager\$PSAdapter|com\.ibm\.mq\.MQClientManagedConnectionFactoryJ11|com\.ibm\.mq\.MQBindingsManagedConnectionFactory)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
211,Set 3 - Third Party,THIRD-PARTY (IBM jar),com.ibm.mqbind.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ibm|com\.ibm\.mqbind|com\.ibm\.mqservices|com\.ibm\.mqservices\.MQInternalException|com\.ibm\.mqbind\.MQDistributionListItem|com\.ibm\.mqbind\.MQGetMessageOptions|com\.ibm\.mqbind\.MQPutMessageOptions|com\.ibm\.mqbind\.MQDistributionList|com\.ibm\.mqservices\.CallStackTrace|com\.ibm\.mqbind\.MQMessageTracker)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ibm|com\.ibm\.mqbind|com\.ibm\.mqservices|com\.ibm\.mqservices\.MQInternalException|com\.ibm\.mqbind\.MQDistributionListItem|com\.ibm\.mqbind\.MQGetMessageOptions|com\.ibm\.mqbind\.MQPutMessageOptions|com\.ibm\.mqbind\.MQDistributionList|com\.ibm\.mqservices\.CallStackTrace|com\.ibm\.mqbind\.MQMessageTracker)\.)|(?:\b(?:com\.ibm|com\.ibm\.mqbind|com\.ibm\.mqservices|com\.ibm\.mqservices\.MQInternalException|com\.ibm\.mqbind\.MQDistributionListItem|com\.ibm\.mqbind\.MQGetMessageOptions|com\.ibm\.mqbind\.MQPutMessageOptions|com\.ibm\.mqbind\.MQDistributionList|com\.ibm\.mqservices\.CallStackTrace|com\.ibm\.mqbind\.MQMessageTracker)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
212,Set 3 - Third Party,THIRD-PARTY (IBM jar),com.ibm.mqjms.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ibm|com\.ibm\.mq\.jms|com\.ibm\.mq\.jms\.admin|com\.ibm\.mq\.jms\.services|com\.ibm\.jms|com\.ibm\.mq\.jms\.MQConnectionConsumer\$MQConnectionConsumerMRH|com\.ibm\.mq\.jms\.ExceptionDispatchThread\$QueueElement|com\.ibm\.mq\.jms\.MQRRSTopicConnectionFactoryFactory|com\.ibm\.mq\.jms\.MulticastHeartbeatTimeoutException|com\.ibm\.mq\.jms\.MQRRSQueueConnectionFactoryFactory)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ibm|com\.ibm\.mq\.jms|com\.ibm\.mq\.jms\.admin|com\.ibm\.mq\.jms\.services|com\.ibm\.jms|com\.ibm\.mq\.jms\.MQConnectionConsumer\$MQConnectionConsumerMRH|com\.ibm\.mq\.jms\.ExceptionDispatchThread\$QueueElement|com\.ibm\.mq\.jms\.MQRRSTopicConnectionFactoryFactory|com\.ibm\.mq\.jms\.MulticastHeartbeatTimeoutException|com\.ibm\.mq\.jms\.MQRRSQueueConnectionFactoryFactory)\.)|(?:\b(?:com\.ibm|com\.ibm\.mq\.jms|com\.ibm\.mq\.jms\.admin|com\.ibm\.mq\.jms\.services|com\.ibm\.jms|com\.ibm\.mq\.jms\.MQConnectionConsumer\$MQConnectionConsumerMRH|com\.ibm\.mq\.jms\.ExceptionDispatchThread\$QueueElement|com\.ibm\.mq\.jms\.MQRRSTopicConnectionFactoryFactory|com\.ibm\.mq\.jms\.MulticastHeartbeatTimeoutException|com\.ibm\.mq\.jms\.MQRRSQueueConnectionFactoryFactory)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
213,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-beanutils.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.beanutils|org\.apache\.commons\.beanutils\.converters|org\.apache\.commons\.beanutils\.locale|org\.apache\.commons\.beanutils\.expression|org\.apache\.commons\.beanutils\.WeakFastHashMap\$CollectionView\$CollectionViewIterator|org\.apache\.commons\.beanutils\.MappedPropertyDescriptor\$MappedMethodReference|org\.apache\.commons\.beanutils\.SuppressPropertiesBeanIntrospector|org\.apache\.commons\.beanutils\.BaseDynaBeanMapDecorator\$MapEntry|org\.apache\.commons\.beanutils\.BeanPropertyValueEqualsPredicate|org\.apache\.commons\.beanutils\.BeanPropertyValueChangeClosure)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.beanutils|org\.apache\.commons\.beanutils\.converters|org\.apache\.commons\.beanutils\.locale|org\.apache\.commons\.beanutils\.expression|org\.apache\.commons\.beanutils\.WeakFastHashMap\$CollectionView\$CollectionViewIterator|org\.apache\.commons\.beanutils\.MappedPropertyDescriptor\$MappedMethodReference|org\.apache\.commons\.beanutils\.SuppressPropertiesBeanIntrospector|org\.apache\.commons\.beanutils\.BaseDynaBeanMapDecorator\$MapEntry|org\.apache\.commons\.beanutils\.BeanPropertyValueEqualsPredicate|org\.apache\.commons\.beanutils\.BeanPropertyValueChangeClosure)\.)|(?:\b(?:org\.apache\.commons\.beanutils|org\.apache\.commons\.beanutils\.converters|org\.apache\.commons\.beanutils\.locale|org\.apache\.commons\.beanutils\.expression|org\.apache\.commons\.beanutils\.WeakFastHashMap\$CollectionView\$CollectionViewIterator|org\.apache\.commons\.beanutils\.MappedPropertyDescriptor\$MappedMethodReference|org\.apache\.commons\.beanutils\.SuppressPropertiesBeanIntrospector|org\.apache\.commons\.beanutils\.BaseDynaBeanMapDecorator\$MapEntry|org\.apache\.commons\.beanutils\.BeanPropertyValueEqualsPredicate|org\.apache\.commons\.beanutils\.BeanPropertyValueChangeClosure)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review;POM
214,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-betwixt-1.0-alpha-1.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.betwixt|org\.apache\.commons\.betwixt\.io|org\.apache\.commons\.betwixt\.expression|org\.apache\.commons\.betwixt\.digester|org\.apache\.commons\.betwixt\.strategy|org\.apache\.commons\.betwixt\.registry|org\.apache\.commons\.betwixt\.AttributeDescriptor|org\.apache\.commons\.betwixt\.ElementDescriptor|org\.apache\.commons\.betwixt\.XMLIntrospector|org\.apache\.commons\.betwixt\.NodeDescriptor)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.betwixt|org\.apache\.commons\.betwixt\.io|org\.apache\.commons\.betwixt\.expression|org\.apache\.commons\.betwixt\.digester|org\.apache\.commons\.betwixt\.strategy|org\.apache\.commons\.betwixt\.registry|org\.apache\.commons\.betwixt\.AttributeDescriptor|org\.apache\.commons\.betwixt\.ElementDescriptor|org\.apache\.commons\.betwixt\.XMLIntrospector|org\.apache\.commons\.betwixt\.NodeDescriptor)\.)|(?:\b(?:org\.apache\.commons\.betwixt|org\.apache\.commons\.betwixt\.io|org\.apache\.commons\.betwixt\.expression|org\.apache\.commons\.betwixt\.digester|org\.apache\.commons\.betwixt\.strategy|org\.apache\.commons\.betwixt\.registry|org\.apache\.commons\.betwixt\.AttributeDescriptor|org\.apache\.commons\.betwixt\.ElementDescriptor|org\.apache\.commons\.betwixt\.XMLIntrospector|org\.apache\.commons\.betwixt\.NodeDescriptor)\.[A-Za-z_$][\w$]*\b)",Medium,Pre-Release/Alpha,Dual-runtime: replace alpha/beta/snapshot libraries with stable maintained releases that support Java 8; validate on JDK 21.,Replace,Upgrade to stable release; verify runtime and security.,Medium,1,Yes,Yes,Safe,Yes,No,Dual-Replace-PreRelease
215,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-codec-1.3.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.codec|org\.apache\.commons\.codec\.language|org\.apache\.commons\.codec\.binary|org\.apache\.commons\.codec\.digest|org\.apache\.commons\.codec\.net|org\.apache\.commons\.codec\.StringEncoderComparator|org\.apache\.commons\.codec\.DecoderException|org\.apache\.commons\.codec\.EncoderException|org\.apache\.commons\.codec\.BinaryEncoder|org\.apache\.commons\.codec\.StringEncoder)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.codec|org\.apache\.commons\.codec\.language|org\.apache\.commons\.codec\.binary|org\.apache\.commons\.codec\.digest|org\.apache\.commons\.codec\.net|org\.apache\.commons\.codec\.StringEncoderComparator|org\.apache\.commons\.codec\.DecoderException|org\.apache\.commons\.codec\.EncoderException|org\.apache\.commons\.codec\.BinaryEncoder|org\.apache\.commons\.codec\.StringEncoder)\.)|(?:\b(?:org\.apache\.commons\.codec|org\.apache\.commons\.codec\.language|org\.apache\.commons\.codec\.binary|org\.apache\.commons\.codec\.digest|org\.apache\.commons\.codec\.net|org\.apache\.commons\.codec\.StringEncoderComparator|org\.apache\.commons\.codec\.DecoderException|org\.apache\.commons\.codec\.EncoderException|org\.apache\.commons\.codec\.BinaryEncoder|org\.apache\.commons\.codec\.StringEncoder)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
216,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-collections-3.2.2.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.collections|org\.apache\.commons\.collections\.map|org\.apache\.commons\.collections\.functors|org\.apache\.commons\.collections\.iterators|org\.apache\.commons\.collections\.list|org\.apache\.commons\.collections\.bidimap|org\.apache\.commons\.collections\.set|org\.apache\.commons\.collections\.bag|org\.apache\.commons\.collections\.buffer|org\.apache\.commons\.collections\.collection)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.collections|org\.apache\.commons\.collections\.map|org\.apache\.commons\.collections\.functors|org\.apache\.commons\.collections\.iterators|org\.apache\.commons\.collections\.list|org\.apache\.commons\.collections\.bidimap|org\.apache\.commons\.collections\.set|org\.apache\.commons\.collections\.bag|org\.apache\.commons\.collections\.buffer|org\.apache\.commons\.collections\.collection)\.)|(?:\b(?:org\.apache\.commons\.collections|org\.apache\.commons\.collections\.map|org\.apache\.commons\.collections\.functors|org\.apache\.commons\.collections\.iterators|org\.apache\.commons\.collections\.list|org\.apache\.commons\.collections\.bidimap|org\.apache\.commons\.collections\.set|org\.apache\.commons\.collections\.bag|org\.apache\.commons\.collections\.buffer|org\.apache\.commons\.collections\.collection)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
217,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-dbcp-1.2.1.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons|org\.apache\.commons\.dbcp|org\.apache\.commons\.dbcp\.datasources|org\.apache\.commons\.dbcp\.cpdsadapter|org\.apache\.commons\.jocl|org\.apache\.commons\.dbcp\.PoolingDataSource\$PoolGuardConnectionWrapper|org\.apache\.commons\.dbcp\.PoolingDriver\$PoolGuardConnectionWrapper|org\.apache\.commons\.jocl\.JOCLContentHandler\$ConstructorDetails|org\.apache\.commons\.dbcp\.DriverManagerConnectionFactory|org\.apache\.commons\.dbcp\.DelegatingCallableStatement)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons|org\.apache\.commons\.dbcp|org\.apache\.commons\.dbcp\.datasources|org\.apache\.commons\.dbcp\.cpdsadapter|org\.apache\.commons\.jocl|org\.apache\.commons\.dbcp\.PoolingDataSource\$PoolGuardConnectionWrapper|org\.apache\.commons\.dbcp\.PoolingDriver\$PoolGuardConnectionWrapper|org\.apache\.commons\.jocl\.JOCLContentHandler\$ConstructorDetails|org\.apache\.commons\.dbcp\.DriverManagerConnectionFactory|org\.apache\.commons\.dbcp\.DelegatingCallableStatement)\.)|(?:\b(?:org\.apache\.commons|org\.apache\.commons\.dbcp|org\.apache\.commons\.dbcp\.datasources|org\.apache\.commons\.dbcp\.cpdsadapter|org\.apache\.commons\.jocl|org\.apache\.commons\.dbcp\.PoolingDataSource\$PoolGuardConnectionWrapper|org\.apache\.commons\.dbcp\.PoolingDriver\$PoolGuardConnectionWrapper|org\.apache\.commons\.jocl\.JOCLContentHandler\$ConstructorDetails|org\.apache\.commons\.dbcp\.DriverManagerConnectionFactory|org\.apache\.commons\.dbcp\.DelegatingCallableStatement)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
218,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-dbutils-1.0.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.dbutils|org\.apache\.commons\.dbutils\.handlers|org\.apache\.commons\.dbutils\.wrappers|org\.apache\.commons\.dbutils\.BasicRowProcessor\$CaseInsensitiveHashMap|org\.apache\.commons\.dbutils\.BasicRowProcessor\$1|org\.apache\.commons\.dbutils\.ResultSetIterator|org\.apache\.commons\.dbutils\.BasicRowProcessor|org\.apache\.commons\.dbutils\.ResultSetHandler|org\.apache\.commons\.dbutils\.ProxyFactory|org\.apache\.commons\.dbutils\.RowProcessor)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.dbutils|org\.apache\.commons\.dbutils\.handlers|org\.apache\.commons\.dbutils\.wrappers|org\.apache\.commons\.dbutils\.BasicRowProcessor\$CaseInsensitiveHashMap|org\.apache\.commons\.dbutils\.BasicRowProcessor\$1|org\.apache\.commons\.dbutils\.ResultSetIterator|org\.apache\.commons\.dbutils\.BasicRowProcessor|org\.apache\.commons\.dbutils\.ResultSetHandler|org\.apache\.commons\.dbutils\.ProxyFactory|org\.apache\.commons\.dbutils\.RowProcessor)\.)|(?:\b(?:org\.apache\.commons\.dbutils|org\.apache\.commons\.dbutils\.handlers|org\.apache\.commons\.dbutils\.wrappers|org\.apache\.commons\.dbutils\.BasicRowProcessor\$CaseInsensitiveHashMap|org\.apache\.commons\.dbutils\.BasicRowProcessor\$1|org\.apache\.commons\.dbutils\.ResultSetIterator|org\.apache\.commons\.dbutils\.BasicRowProcessor|org\.apache\.commons\.dbutils\.ResultSetHandler|org\.apache\.commons\.dbutils\.ProxyFactory|org\.apache\.commons\.dbutils\.RowProcessor)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
219,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-digester.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.digester|org\.apache\.commons\.digester\.xmlrules|org\.apache\.commons\.digester\.plugins|org\.apache\.commons\.digester\.substitution|org\.apache\.commons\.digester\.parser|org\.apache\.commons\.digester\.SetNestedPropertiesRule\$AnyChildRules|org\.apache\.commons\.digester\.SetNestedPropertiesRule\$AnyChildRule|org\.apache\.commons\.digester\.AbstractObjectCreationFactory|org\.apache\.commons\.digester\.NodeCreateRule\$NodeBuilder|org\.apache\.commons\.digester\.ParserFeatureSetterFactory)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.digester|org\.apache\.commons\.digester\.xmlrules|org\.apache\.commons\.digester\.plugins|org\.apache\.commons\.digester\.substitution|org\.apache\.commons\.digester\.parser|org\.apache\.commons\.digester\.SetNestedPropertiesRule\$AnyChildRules|org\.apache\.commons\.digester\.SetNestedPropertiesRule\$AnyChildRule|org\.apache\.commons\.digester\.AbstractObjectCreationFactory|org\.apache\.commons\.digester\.NodeCreateRule\$NodeBuilder|org\.apache\.commons\.digester\.ParserFeatureSetterFactory)\.)|(?:\b(?:org\.apache\.commons\.digester|org\.apache\.commons\.digester\.xmlrules|org\.apache\.commons\.digester\.plugins|org\.apache\.commons\.digester\.substitution|org\.apache\.commons\.digester\.parser|org\.apache\.commons\.digester\.SetNestedPropertiesRule\$AnyChildRules|org\.apache\.commons\.digester\.SetNestedPropertiesRule\$AnyChildRule|org\.apache\.commons\.digester\.AbstractObjectCreationFactory|org\.apache\.commons\.digester\.NodeCreateRule\$NodeBuilder|org\.apache\.commons\.digester\.ParserFeatureSetterFactory)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
220,Set 3 - Third Party,THIRD-PARTY (COMMON jar),commons-fileupload.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.commons\.fileupload|org\.apache\.commons\.fileupload\.util|org\.apache\.commons\.fileupload\.servlet|org\.apache\.commons\.fileupload\.portlet|org\.apache\.commons\.fileupload\.disk|org\.apache\.commons\.fileupload\.FileUploadBase\$FileItemIteratorImpl\$FileItemStreamImpl\$1|org\.apache\.commons\.fileupload\.FileUploadBase\$FileItemIteratorImpl\$FileItemStreamImpl|org\.apache\.commons\.fileupload\.FileUploadBase\$FileSizeLimitExceededException|org\.apache\.commons\.fileupload\.FileUploadBase\$InvalidContentTypeException|org\.apache\.commons\.fileupload\.FileUploadBase\$SizeLimitExceededException)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.commons\.fileupload|org\.apache\.commons\.fileupload\.util|org\.apache\.commons\.fileupload\.servlet|org\.apache\.commons\.fileupload\.portlet|org\.apache\.commons\.fileupload\.disk|org\.apache\.commons\.fileupload\.FileUploadBase\$FileItemIteratorImpl\$FileItemStreamImpl\$1|org\.apache\.commons\.fileupload\.FileUploadBase\$FileItemIteratorImpl\$FileItemStreamImpl|org\.apache\.commons\.fileupload\.FileUploadBase\$FileSizeLimitExceededException|org\.apache\.commons\.fileupload\.FileUploadBase\$InvalidContentTypeException|org\.apache\.commons\.fileupload\.FileUploadBase\$SizeLimitExceededException)\.)|(?:\b(?:org\.apache\.commons\.fileupload|org\.apache\.commons\.fileupload\.util|org\.apache\.commons\.fileupload\.servlet|org\.apache\.commons\.fileupload\.portlet|org\.apache\.commons\.fileupload\.disk|org\.apache\.commons\.fileupload\.FileUploadBase\$FileItemIteratorImpl\$FileItemStreamImpl\$1|org\.apache\.commons\.fileupload\.FileUploadBase\$FileItemIteratorImpl\$FileItemStreamImpl|org\.apache\.commons\.fileupload\.FileUploadBase\$FileSizeLimitExceededException|org\.apache\.commons\.fileupload\.FileUploadBase\$InvalidContentTypeException|org\.apache\.commons\.fileupload\.FileUploadBase\$SizeLimitExceededException)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
